event_key,county_fips5,county_name_x,state_name,planned_shelter,actual_shelter,shelter_pop,event,state_abbr,county_name_y,n_buildings,n_damaged,n_displaced_bldgs,n_severe,n_residential,n_res_displaced,avg_damage_pct,max_damage_pct,total_bldg_loss_usd,centroid_lat,centroid_lon,total_population,pct_elderly,median_household_income,total_housing_units,displaced_pop_estimate,tier1_shelter_estimate,damage_rate,severe_rate,displacement_rate,log_displaced_pop,log_n_buildings,log_bldg_loss,log_total_pop,damage_x_pop,tier2_shelter_estimate,tier3_p90,tier3_p95,tier3_p99
IDA_2021,22087,St. Bernard,LA,45.0,,45.0,IDA_2021,LA,St. Bernard,15590,15590,15486,10201,14664,14603,74.4295,100.0,2386552566.14,29.92849,-89.934226,44038,0.1228,55857,17778,36945.59,269.1222310367975,1.0,0.6543296985246954,0.9366901860166773,10.517228635243498,9.654449103676551,21.593115721043816,10.692830883948481,795.8620562768435,25.1884636175661,6605.7,6605.7,6605.7
IDA_2021,22089,St. Charles,LA,134.0,,134.0,IDA_2021,LA,St. Charles,17209,17208,16745,12661,16214,16012,74.5502,100.0,3250154087.29,29.934623,-90.371445,52191,0.144,79191,20531,40510.35999999999,295.08903399035825,0.9999418908710559,0.7357196815619734,0.9304433726538439,10.609337707590752,9.753245889205585,21.901968243945692,10.86268450542074,809.8153024160173,42.67654313967305,7828.65,7828.65,7828.65
IDA_2021,22093,St. James,LA,13.0,38.0,38.0,IDA_2021,LA,St. James,1474,1470,1199,477,1396,1162,42.8358,100.0,175860169.4,29.954675,-90.700369,20090,0.1843,62946,8604,2939.8599999999997,21.41478000854336,0.9972862957937585,0.32360922659430125,0.7883310719131614,7.986457334564772,7.29641326877392,18.98519975086724,9.90802723257816,424.41827292927155,56.590860383626,3013.5,3013.5,3013.5
IDA_2021,22095,St. John the Baptist,LA,28.0,,28.0,IDA_2021,LA,St. John the Baptist,6560,6535,3504,529,6336,3463,23.1357,100.0,387119514.59,30.076748,-90.492687,41986,0.1473,65114,17799,8761.39,63.82046744370538,0.9961890243902439,0.08064024390243903,0.5278963414634147,9.078223977769042,8.788898309344878,19.774244029131133,10.6451153255436,246.28219463717906,322.73789236709496,6297.9,6297.9,6297.9
IDA_2021,22101,St. Mary,LA,,58.0,58.0,IDA_2021,LA,St. Mary,13934,13914,13580,9086,12054,11875,75.0582,100.0,3040993436.17,29.701601,-91.252575,49114,0.1758,47322,22516,30043.749999999996,218.84725697199002,0.9985646619778958,0.6520740634419406,0.8522319506243721,10.310443215881355,9.542158939916048,21.835450087523558,10.80191976610897,810.7726541885603,24.935422278741672,7367.099999999999,7367.099999999999,7367.099999999999
IDA_2021,22103,St. Tammany,LA,52.0,93.0,93.0,IDA_2021,LA,St. Tammany,6657,6274,5836,4376,6471,5705,71.2421,100.0,884134338.79,30.388666,-90.004345,266168,0.1775,76914,110680,14433.65,105.1388295600171,0.9424665765359772,0.6573531620850233,0.8569926393270242,9.577386845180289,8.80357441813497,20.600119577144174,12.491886724367738,889.9482432060788,71.99211520857392,31837.799498726115,39925.2,39925.2
IDA_2021,22105,Tangipahoa,LA,81.0,311.0,311.0,IDA_2021,LA,Tangipahoa,4047,3983,3832,2638,3900,3698,73.0269,100.0,592398413.04,30.516114,-90.430261,133953,0.1487,55274,57354,9355.939999999999,68.15133947641424,0.9841858166543118,0.651840869780084,0.9137632814430442,9.143873592943715,8.305978210967302,20.199689963176752,11.805251736415661,862.1009380300528,28.554575360162925,20092.95,20092.95,20092.95
IDA_2021,22109,Terrebonne,LA,509.0,,509.0,IDA_2021,LA,Terrebonne,25512,25420,17209,5924,22658,16778,34.9706,100.0,1905492251.44,29.570195,-90.712807,108862,0.1507,63088,47314,42448.34,309.2058338927199,0.9963938538726873,0.2322044528065224,0.6576513013483851,10.656066643915446,10.146943405162217,21.368006212376457,11.59784548994027,405.58361549050517,72.84514827881897,16329.3,16329.3,16329.3
IDA_2021,22117,Washington,LA,,22.0,22.0,IDA_2021,LA,Washington,1,1,1,1,1,1,100.0,100.0,90543.0,30.861747,-90.311969,45514,0.185,41803,21420,2.53,0.018429242692378108,1.0,1.0,1.0,1.2612978709452054,0.6931471805599453,11.413591199382305,10.72579722093939,1072.579722093939,14.494919467397223,5.580683523001948,14.488305041077199,128.61712429480602
MILTON_2024,12015,Charlotte,FL,49.0,,49.0,MILTON_2024,FL,Charlotte,28546,24466,19304,6503,27343,19074,32.6282,100.0,1949634145.43,26.925717,-82.148172,189900,0.4034,62164,111330,48257.219999999994,351.51937511442,0.8570727947873608,0.2278077488965179,0.6681846843690885,10.784321454951357,10.259307130753884,21.39090757470437,12.15425816271595,396.57156618472857,87.87328391401591,28485.0,28485.0,28485.0
